                    Daily Solar Radiation (Langleys) 

      J     F     M     A     M     J     J     A     S     O     N     D
  1  253.  343.  475.  578.  554.  552.  534.  475.  406.  397.  317.  277.
  2  307.  399.  421.  611.  595.  518.  575.  472.  446.  371.  271.  297.
  3  277.  427.  465.  639.  663.  502.  489.  460.  407.  366.  276.  308.
  4  248.  334.  390.  524.  564.  583.  483.  487.  433.  364.  339.  266.
  5  241.  385.  459.  552.  492.  622.  521.  525.  440.  385.  315.  257.
  6  263.  329.  438.  453.  518.  448.  457.  480.  414.  360.  319.  249.
  7  311.  309.  427.  481.  560.  551.  467.  527.  426.  397.  303.  267.
  8  303.  310.  407.  473.  597.  466.  496.  465.  417.  370.  283.  286.
  9  293.  329.  395.  522.  570.  565.  540.  500.  365.  334.  337.  247.
 10  321.  362.  440.  519.  597.  580.  595.  416.  438.  344.  306.  236.
 11  346.  357.  481.  510.  566.  534.  505.  456.  420.  403.  348.  270.
 12  280.  334.  369.  492.  586.  478.  479.  505.  470.  319.  309.  274.
 13  243.  314.  402.  493.  543.  478.  524.  476.  408.  394.  262.  303.
 14  257.  320.  421.  586.  520.  522.  527.  469.  451.  383.  278.  270.
 15  260.  330.  390.  520.  603.  502.  463.  509.  487.  371.  332.  245.
 16  281.  325.  443.  484.  605.  554.  526.  467.  421.  387.  319.  224.
 17  267.  380.  412.  467.  557.  546.  492.  463.  441.  363.  279.  265.
 18  251.  344.  391.  553.  516.  463.  558.  501.  424.  391.  274.  294.
 19  269.  302.  459.  448.  519.  563.  508.  478.  394.  354.  271.  212.
 20  242.  374.  447.  570.  521.  549.  547.  482.  439.  388.  281.  239.
 21  244.  284.  420.  521.  598.  522.  464.  497.  356.  386.  335.  240.
 22  249.  324.  401.  488.  527.  485.  511.  497.  387.  294.  301.  276.
 23  308.  367.  469.  511.  580.  553.  511.  523.  450.  360.  329.  219.
 24  300.  379.  437.  543.  570.  535.  511.  485.  420.  374.  334.  234.
 25  342.  287.  429.  508.  551.  532.  508.  486.  472.  358.  279.  254.
 26  292.  377.  427.  507.  576.  504.  489.  409.  459.  404.  299.  256.
 27  278.  404.  458.  547.  585.  522.  545.  446.  356.  312.  342.  267.
 28  314.  330.  510.  520.  566.  502.  432.  496.  382.  378.  307.  248.
 29  288.  358.  432.  552.  487.  541.  476.  479.  415.  372.  296.  290.
 30  283.    0.  444.  497.  613.  523.  490.  503.  371.  349.  303.  256.
 31  323.    0.  441.    0.  450.    0.  513.  458.    0.  384.    0.  237.
      J     F     M     A     M     J     J     A     S     O     N     D

 ave 282.  358.  432.  522.  560.  527.  508.  480.  421.  368.  305.  260.

